0000001|Avengers Infinty War|Action|Big boi thanos is coming|Disney|America|20180426|123455676|124|English|1
0000002|Ariel|Drama,Crime|Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...| Villealfa Filmproduction Oy,Finnish Film Foundation|Finland|19881021|0|69|Japanese|2
0000003|Shadows in Paradise|Drama,Comedy|An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.| Villealfa Filmproduction Oy|Finland|19861016|0|76|English|2
0000005|Four Rooms|Crime,Comedy|It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.| Miramax Films,A Band Apart|United States of America|19951209|8884|98|English|1
0000006|Judgment Night|Action,Thriller,Crime|While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama| Universal Pictures,Largo Entertainment,JVC Entertainment Networks|Japan,United States of America|19931015|25076|110|English|1
0000011|Star Wars|Adventure,Action,ScienceFiction|Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.| Lucasfilm,Twentieth Century Fox Film Corporation|United States of America|19770525|0|121|English|2
0000012|Finding Nemo|Animation,Family|Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.| Pixar Animation Studios|United States of America|20030530|1942842|100|English|1
0000013|Forrest Gump|Comedy,Drama,Romance|A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.| Paramount Pictures|United States of America|19940706|1400713|142|French,English|0
0000014|American Beauty|Drama|Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.| DreamWorks SKG,Jinks/Cohen Company|United States of America|19990915|736150|122|English|0
0000015|Citizen Kane|Mystery,Drama|Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.| RKO Radio Pictures,Mercury Productions|United States of America|19410430|47970|119|English|1
0000016|Dancer in the Dark|Drama,Crime,Music|Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.| Fine Line Features,Zentropa Entertainments,Danmarks Radio (DR),SVT Drama,Arte,Memfis Film,France  Cinéma,Angel films,TV ,Canal+,Constantin Film Produktion,Yleisradio (YLE),Arte France Cinéma,Westdeutscher Rundfunk (WDR),Blind Spot Pictures Oy,Vrijzinnig Protestantse Radio Omroep (VPRO),Film,Liberator Productions,Icelandic Film,Film i Väst,Pain Unlimited GmbH Filmproduktion,Trust Film Svenska,Cinematograph A/S,What Else? B.V,Filmek A/S,Lantia Cinema & Audiovisivi|Argentina,Denmark,Finland,France,Germany,Iceland,Italy,Netherlands,Norway,Sweden,United Kingdom,United States of America|20000517|0|140|English|2
0000017|The Dark|Horror,Thriller,Mystery|Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.| Constantin Film,Impact Pictures,Isle of Man Film,UK Film Council|Germany,United Kingdom|20060126|0|87|English|2
0000018|The Fifth Element|Adventure,Fantasy,Action,Thriller,ScienceFiction|In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.| Columbia Pictures,Gaumont|France|19970507|0|126|English|2
